loc,text
intro,"I'm a Computer Engineer and Data Scientist. I enjoy spending my free time studying statistics, programming and reading Data Science-related articles. At work, I play my role mostly in building visualizations to clients and contributing to the company's R package."
teaching_experience_aside,I am passionate about education. I believe that no topic is too complex if the teacher is empathetic and willing to think about new methods of approaching task. 
data_science_writing_aside,"I am most interested in readings about data science, statistics, and AI."
academic_writing_aside,"Paper published in the 2019 II Workshop on Metrology for Industry 4.0 and IoT (MetroInd4.0&IoT). Naples, Italy."
